X,Y,OBJECTID,REPORTINGAGENCYid,ReportingAgency,REPORTNUMBER,ACCIDENTDATE,STREETADDRESS,INTERSECTIONWITH,DirOfCollision,RoadGroup,AOTACTUALMILEPOINT,RoadCharacteristics,NonReportableAddress,CITYORTOWNid,CITYORTOWN,EASTING,NORTHING,AOTROUTEid,AOTROUTE,LRSNUMBER,HOWMAPPED,Animal,Impairment,Involving,Weather,DayNight,InjuryType,LOC_ERROR,RDFLNAME,SurfaceCondition,RoadCondition,Route,LATITUDE,LONGITUDE,AOTROADWAYGROUPid
503565.000000000931323,67452.0,1011,VTVSP1600,VSP - B1 Westminster,18B101869,2018-03-29T15:28:00.000Z,2053 Back Westminster Rd,Birchview Hts,Single Vehicle Crash,Minor Collector - Non Fed Aid Rural TH,999.99,Not at a Junction,,1320,Westminster,503565,67452,S0542,BACK WESTMINSTER RD,,XY,None/Other,None,None,Cloudy,Day,Property Damage Only,INVALID LOCATION ROUTE ID,BACK WESTMINSTER RD,Wet,"Road Surface Condition(wet, icy, snow, slush, etc)",BACK WESTMINSTER RD,43.10720262,-72.45620186,4
524170.0,263046.000000001862645,1012,VTVSP0800,VSP - A5 Derby,18A503367,2018-09-04T16:30:00.000Z,River Rd,Coventry Station Rd,Other - Explain in Narrative,"City, Village or Urban Compact Street not in FA Urban Area (Class 2 and 3 Non-Federal Aid)",999.99,Not at a Junction,,1005,Coventry,524170,263046,T0001,TOWN ROAD 0001,,XY,None/Other,None,None,Clear,Day,Property Damage Only,INVALID LOCATION ROUTE ID,COVENTRY STATION RD,Dry,None,TOWN ROAD 0001,44.86719625,-72.19415108,6
437338.000000000931323,122683.000000001862645,1013,VT0110400,Fair Haven PD.,18FH00549,2018-03-29T16:20:00.000Z,694 Rt 22a,Shaws Parking Lot,Other - Explain in Narrative,"Other Public Roadway (Rest Areas, Shopping Center - anything open to public)",999.99,Parking Lot,,1107,Fair Haven,437338,122683,0000,Unknown,,XY,None/Other,None,None,Cloudy,Day,Property Damage Only,INVALID LOCATION ROUTE ID,,Dry,None,Unknown,43.60172443,-73.27611523,9
500579.746875001117587,55992.869218749925494,1014,VTVSP1600,VSP - B1 Westminster,18B100544,2018-01-24T22:56:22.000Z,E PUTNEY BROOK RD,OLD STAGE RD,,"City, Village or Urban Compact Street not in FA Urban Area (Class 2 and 3 Non-Federal Aid)",999.99,,E PUTNEY BROOK RD & OLD STAGE RD PUTNEY VT,1313,Putney,,,T0017,TOWN ROAD 0017,,GEOCODE,,,,,Night,,INVALID LOCATION ROUTE ID,E PUTNEY BROOK RD,,,TOWN ROAD 0017,43.00405887,-72.49288939,6
442549.000000000931323,44172.000000001862645,1015,VT0020100,Bennington PD.,18BN04672,2018-06-21T15:26:00.000Z,111 Northside Drive,Pump #6,Single Vehicle Crash,"Other Public Roadway (Rest Areas, Shopping Center - anything open to public)",999.99,Parking Lot,,0202,Bennington,442549,44172,0000,Unknown,,XY,None/Other,None,None,Clear,Day,Property Damage Only,INVALID LOCATION ROUTE ID,,Dry,None,Unknown,42.89548808,-73.20339892,9
444853.000000001862645,219436.0,1016,VT0041100,UVM Police,18UV002635,2018-04-21T13:52:00.000Z,31 Spear St,Main St,,"Other Public Roadway (Rest Areas, Shopping Center - anything open to public)",999.99,,,0403,Burlington,444853,219436,0000,Unknown,,XY,None/Other,None,None,,Day,Property Damage Only,INVALID LOCATION ROUTE ID,,,,Unknown,44.47304898,-73.19312032,9
500786,89303,1017,VT0140200,Springfield PD.,18SF005296,2018-06-05T13:28:00.000Z,209 River St (parking Lot),Chester Rd,Other - Explain in Narrative,"Other Public Roadway (Rest Areas, Shopping Center - anything open to public)",999.99,Parking Lot,,1418,Springfield,500786,89303,0000,Unknown,,XY,None/Other,None,None,Cloudy,Day,Property Damage Only,INVALID LOCATION ROUTE ID,,Dry,None,Unknown,43.30390205,-72.49031245,9
447723.000000000931323,218733.0,1018,VT0040300,So. Burlington PD.,18SB000846,2018-01-22T22:09:00.000Z,48 Logwood St,Driveway To 48 Logwood St,Head On,Street or Town Highways in FA Urban Area,999.99,Not at a Junction,,0414,South Burlington,447723,218733,0000,LOGWOOD ST,,XY,None/Other,None,None,Cloudy,Night,Property Damage Only,INVALID LOCATION ROUTE ID,LOGWOOD ST,Ice,"Road Surface Condition(wet, icy, snow, slush, etc)",LOGWOOD ST,44.46693596,-73.1569799,5
458068,225678,1019,VT0040200,Essex PD.,18ES00792,2018-02-09T20:42:00.000Z,23 Osgood Hill Road,Browns River Road,Single Vehicle Crash,"City, Village or Urban Compact Street not in FA Urban Area (Class 2 and 3 Non-Federal Aid)",999.99,Not at a Junction,,0406,Essex,458068,225678,T0051,TOWN ROAD 0051,,XY,None/Other,None,None,Cloudy,Night,Property Damage Only,INVALID LOCATION ROUTE ID,,Snow,"Road Surface Condition(wet, icy, snow, slush, etc)",TOWN ROAD 0051,44.53010823,-73.02754074,6
446031.0,219001.00000000372529,1020,VT0040300,So. Burlington PD.,18SB002466,2018-03-02T15:28:00.000Z,Williston Road,Windjammer Parking Lot,"No Turns, Thru moves only, Broadside ^<","Other Public Roadway (Rest Areas, Shopping Center - anything open to public)",999.99,Parking Lot,,0414,South Burlington,446031,219001,0000,BEST WESTERN,,XY,None/Other,None,None,Freezing Precipitation,Day,Property Damage Only,INVALID LOCATION ROUTE ID,BEST WESTERN,Snow,None,BEST WESTERN,44.46922337,-73.17827022,9
443041.0,42195.000000001862645,1021,VT0020100,Bennington PD.,18BN05882,2018-08-07T13:24:00.000Z,Franklin Lane,South Street,Single Vehicle Crash,Street or Town Highways in FA Urban Area,999.99,Other - Explain in Narrative,,0202,Bennington,443041,42195,0000,FRANKLIN LN,,XY,None/Other,None,None,Clear,Day,Property Damage Only,INVALID LOCATION ROUTE ID,FRANKLIN LN,Dry,None,FRANKLIN LN,42.87772932,-73.19717514,5
451778.0,216580.00000000372529,1022,VT0041000,Williston PD.,18WT04859,2018-09-05T20:04:00.000Z,10 Simons PLZ,Williston Road,Rear End,"Other Public Roadway (Rest Areas, Shopping Center - anything open to public)",999.99,Not at a Junction,,0417,Williston,451778,216580,0000,Unknown,,XY,None/Other,None,None,Clear,Night,Property Damage Only,INVALID LOCATION ROUTE ID,,Dry,None,Unknown,44.44784285,-73.10582215,9
504995.644999999552965,84181.929062500596046,1023,VTVSP1600,VSP - B1 Westminster,18B100371,2018-01-17T03:44:00.000Z,I 91 S MM 41,MM 41,Single Vehicle Crash,"State Highway numbered route, State owned",41,Not at a Junction,,1418,Springfield,504831,83874,0910,I-91,I091-0000S,LRS,None/Other,None,None,Freezing Precipitation,Night,Property Damage Only,NO ERROR,INTERSTATE 91,Snow,"Road Surface Condition(wet, icy, snow, slush, etc)",I-91,43.25778928,-72.43847451,10
449275.842031249776483,238166.30375000089407,1024,VTVSP0100,VSP - A1 Williston,18A100040,2018-01-03T01:49:43.000Z,I 89 N MM102,,,"State Highway numbered route, State owned",102,,I 89 N MM102 MILTON VT,0410,Milton,,,0890,I-89,I089-0000,LRS,,,,,Night,,NO ERROR,INTERSTATE 89,,,I-89,44.64192282,-73.13937815,10
440649.258281250484288,202883.354531252756715,1025,VTVSP0100,VSP - A1 Williston,18A100290,2018-01-14T17:53:00.000Z,2013-2193 US-7,Fox Run Rd,Opp Direction Sideswipe,"State Highway numbered route, State owned",4.36,Not at a Junction,,0404,Charlotte,440659,202894,0070,US-7,U007-0404,LRS,None/Other,None,None,Clear,Day,Property Damage Only,NO ERROR,PATTON WOODS,Wet,"Road Surface Condition(wet, icy, snow, slush, etc)",US-7,44.32376158,-73.24406098,10
486175.907812500372529,219001.54734375141561,1026,VT0080200,Stowe PD.,18ST000106,2018-01-08T07:55:00.000Z,751 Maple St,West Hill Road,,"State Highway numbered route, State owned",4.14,,,0808,Stowe,486188,219013,1000,VT-100,V100-0808,LRS,None/Other,None,None,,Day,Property Damage Only,NO ERROR,MAPLE ST,,,VT-100,44.47111009,-72.67374375,10
470428.777031250298023,49400.322031252086163,1027,VT0130500,Dover PD.,18DV00078,2018-01-13T10:57:00.000Z,183 VT-100,Country Club Rd,Rear End,"State Highway numbered route, State owned",1.73,T - Intersection,,1304,Dover,470388,49435,1000,VT-100,V100-1304,LRS,None/Other,None,None,Clear,Day,Property Damage Only,NO ERROR,VT ROUTE 100,Wet,Other - Explain in Narrative,VT-100,42.94414051,-72.86233951,10
507748.932343752123415,112784.333593750372529,1028,VT0140400,Windsor PD.,18WN00011,2018-01-02T09:14:00.000Z,US RTE 5 N,RUTH CARNEY DRIVE,Single Vehicle Crash,"State Highway numbered route, State owned",6.53,Not at a Junction,,1423,Windsor,,,0050,US-5,U005-1423,LRS,None/Other,None,None,Freezing Precipitation,Day,Property Damage Only,NO ERROR,US ROUTE 5,Snow,"Road Surface Condition(wet, icy, snow, slush, etc)",US-5,43.51522161,-72.4041608,10
440003.077343749813735,274818.040624998509884,1029,VTVSP0700,VSP - A2 St. Albans,18A200158,2018-01-07T20:22:43.000Z,VT RT 78,MARTELL RD,,"State Highway numbered route, State owned",1.15,,VT RT 78 & MARTELL RD ALBURG VT,0701,Alburg,,,0780,VT-78,V078-0701,LRS,,,,,Night,,NO ERROR,VT ROUTE 78,,,VT-78,44.97100706,-73.26057365,10
454066.36625000089407,258436.005937499925494,1030,VT0060100,St. Albans PD.,18SA000402,2018-01-14T12:46:00.000Z,Swanton Rd,Seymour Rd,Rear End,"State Highway numbered route, Class 1 TH",2.2,T - Intersection,,0613,St. Albans Town,454071,258469,0070,US-7,U007-0612,LRS,None/Other,None,None,Clear,Day,Injury,NO ERROR,N MAIN ST,Ice,"Road Surface Condition(wet, icy, snow, slush, etc)",US-7,44.82464399,-73.0808197,11
507611.79875,107323.141250001266599,1031,VTVSP1600,VSP - B1 Westminster,18B100204,2018-01-09T05:53:51.000Z,I 91 N MM56,,,"State Highway numbered route, State owned",56,,I 91 N MM56 WINDSOR VT,1423,Windsor,,,0910,I-91,I091-0000,LRS,,,,,Night,,NO ERROR,INTERSTATE 91,,,I-91,43.4660667,-72.40593319,10
445750.939843750558794,219481.258750002831221,1032,VTVSP0100,VSP - A1 Williston,18A100147,2018-01-06T12:58:56.000Z,I 89 S MM89 S,,,"State Highway numbered route, State owned",89,,I 89 S MM89 S BURLINGTON VT,0403,Burlington,,,0890,I-89,I089-0000S,LRS,,,,,Day,,NO ERROR,INTERSTATE 89,,,I-89,44.47352419,-73.18184002,10
469555.482343751005828,182806.432343751192093,1033,VTVSP1200,VSP - A3 Middlesex,18A300315,2018-01-19T10:25:24.000Z,1900 Block SUGARBUSH ACCESS RD,,,Federal Aid Secondary System (Class 2 TH),1.06,,1900 Block SUGARBUSH ACCESS RD WARREN VT,1217,Warren,,,S0203,SUGARBUSH ACCESS RD,S02031217,LRS,,,,,Day,,NO ERROR,SUGARBUSH ACCESS RD,,,SUGARBUSH ACCESS RD,44.14486184,-72.88051867,3
489910.336250000633299,163837.262187499552965,1034,VTVSP1100,VSP - B2 Royalton,18B200095,2018-01-05T19:31:14.000Z,I 89 N MM33,,,"State Highway numbered route, State owned",33,,I 89 N MM33 RANDOLPH VT,0909,Randolph,,,0890,I-89,I089-0000,LRS,,,,,Night,,NO ERROR,INTERSTATE 89,,,I-89,43.97470126,-72.62574764,10
445161.910000000149012,216119.33,1035,VT0040300,So. Burlington PD.,18SB000251,2018-01-07T16:50:00.000Z,Spear St,Swift St,Rear End,Federal Aid Urban System (Class 2 TH's and 3 TH's only),1.88,Not at a Junction,,0414,South Burlington,445155,216089,U5222,SPEAR ST.,S52220414,LRS,None/Other,None,None,Cloudy,Day,Property Damage Only,NO ERROR,SPEAR ST,Snow,"Road Surface Condition(wet, icy, snow, slush, etc)",SPEAR ST.,44.44322625,-73.188887,2
470682.04203125089407,207800.457812501117587,1036,VTVSP0100,VSP - A1 Williston,18A100099,2018-01-05T09:30:49.000Z,I 89 N MM70,,,"State Highway numbered route, State owned",70,,I 89 N MM70 BOLTON VT,0401,Bolton,,,0890,I-89,I089-0000,LRS,,,,,Day,,NO ERROR,INTERSTATE 89,,,I-89,44.36984504,-72.867838,10
505019.705468749627471,84179.737968754023314,1037,VTVSP1600,VSP - B1 Westminster,18B100392,2018-01-17T16:41:12.000Z,I 91 N MM41,,,"State Highway numbered route, State owned",41,,I 91 N MM41 SPRINGFIELD VT,1418,Springfield,,,0910,I-91,I091-0000,LRS,,,,,Day,,NO ERROR,INTERSTATE 91,,,I-91,43.25776939,-72.43817821,10
469163.28000000026077,45752.990000000223517,1038,VT0130300,Wilmington PD.,18WM00013,2018-01-04T16:38:00.000Z,Coldbrook Road,Mann Road,,Federal Aid Secondary System (Class 2 TH),1.55,,,1322,Wilmington,469157,45748,S0115,COLDBROOK RD,S01151322,LRS,None/Other,None,None,,Day,Property Damage Only,NO ERROR,COLDBROOK RD,,,COLDBROOK RD,42.91125809,-72.87764484,3
463177.49343749973923,122865.519843749701977,1039,VT0110200,Rutland PD.,18RL00571,2018-01-18T09:06:00.000Z,Stratton Rd,Jackson Ave,"No Turns, Thru moves only, Broadside ^<",Federal Aid Urban System (Class 2 TH's and 3 TH's only),0.95,T - Intersection,,1119,Rutland City,463176,122876,U3054,STRATTON RD.,S30541119,LRS,None/Other,None,Heavy Truck,Freezing Precipitation,Day,Property Damage Only,NO ERROR,STRATTON RD,Ice,"Road Surface Condition(wet, icy, snow, slush, etc)",STRATTON RD.,43.60509194,-72.95609989,2
447889.670000001788139,213575.900000002235174,1040,VT0040300,So. Burlington PD.,18SB000516,2018-01-13T19:53:00.000Z,Hinesburg Rd,Cheesefactory Rd,Other - Explain in Narrative,"State Highway numbered route, State owned",0.74,Not at a Junction,,0414,South Burlington,447854,213306,1160,VT-116,V116-0414,LRS,None/Other,None,None,Clear,Night,Property Damage Only,NO ERROR,HINESBURG RD,Snow,"Road Surface Condition(wet, icy, snow, slush, etc)",VT-116,44.42053956,-73.15436717,10
515228.171093751676381,269017.526249999180436,1041,VTVSP0800,VSP - A5 Derby,18A500188,2018-01-14T07:31:00.000Z,1755 VT-100,Poginy Hill Rd,Single Vehicle Crash,"State Highway numbered route, State owned",2.31,Not at a Junction,,1016,Newport Town,515671,269079,1000,VT-100,V100-1016,LRS,None/Other,None,None,Clear,Day,Property Damage Only,NO ERROR,VT ROUTE 100,Ice,"Road Surface Condition(wet, icy, snow, slush, etc)",VT-100,44.92117957,-72.30712126,10
461838.801718750968575,123521.531093750149012,1042,VT0110200,Rutland PD.,18RL00275,2018-01-09T11:39:00.000Z,37 N Main St,Woodstock Ave,,"State Highway numbered route, Class 1 TH",1.44,,,1119,Rutland City,461828,123518,0070,US-7,U007-1119,LRS,None/Other,None,None,,Day,Property Damage Only,NO ERROR,N MAIN ST,Wet,,US-7,43.61092905,-72.97272721,11
443685.43484374973923,151773.424531251192093,1043,VTVSP0600,VSP - B5 New Haven,18B500020,2018-01-02T20:12:00.000Z,Shoreham - Whiting Road,Shoreham - Whiting Road,"No Turns, Thru moves only, Broadside ^<","State Highway numbered route, State owned",1.85,T - Intersection,,0123,Whiting,443044,152512,0300,VT-30,V030-0123,LRS,None/Other,None,None,Cloudy,Night,Property Damage Only,NO ERROR,SHOREHAM WHITING RD,Snow,None,VT-30,43.86404437,-73.20054904,10
444516.687343750149012,42391.179531250149012,1044,VT0020100,Bennington PD.,18BN00106,2018-01-04T17:34:00.000Z,924 Main Street,Autumn Inn,Rear End,"State Highway numbered route, Class 1 TH",5.31,Driveway,,0202,Bennington,444539,42393,0090,VT-9,V009-0202,LRS,None/Other,None,None,Freezing Precipitation,Day,Property Damage Only,NO ERROR,MAIN ST,Snow,"Road Surface Condition(wet, icy, snow, slush, etc)",VT-9,42.87960376,-73.17913342,11
498909.695156251080334,78029.847343750298023,1045,VTVSP1600,VSP - B1 Westminster,18B100130,2018-01-05T17:34:41.000Z,ROCKINGHAM RD,PLEASANT VALLEY RD,,"State Highway numbered route, State owned",3.29,,ROCKINGHAM RD & PLEASANT VALLEY RD ROCKINGHAM VT,1314,Rockingham,,,1030,VT-103,V103-1314,LRS,,,,,Day,,NO ERROR,ROCKINGHAM RD,,,VT-103,43.2024274,-72.51341586,10
442512.343906251713634,162035.100312503054738,1046,VTVSP0600,VSP - B5 New Haven,18B500141,2018-01-10T08:25:00.000Z,226-1154 VT-74,VT-30,Single Vehicle Crash,"State Highway numbered route, State owned",2.43,Not at a Junction,,0104,Cornwall,442281,161834,0740,VT-74,V074-0104,LRS,None/Other,None,None,Cloudy,Day,Property Damage Only,NO ERROR,VT ROUTE 74,Dry,None,VT-74,43.95630566,-73.2162478,10
451097.41843750141561,220641.66015625372529,1047,VT0040200,Essex PD.,18ES00280,2018-01-14T10:35:00.000Z,80 Park St,,Rear End,"State Highway numbered route, Class 1 TH",0.21,Four-way Intersection,,0406,Essex,451135,220726,0021,VT-2A,V002A0406,LRS,None/Other,None,None,Freezing Precipitation,Day,Property Damage Only,NO ERROR,PARK ST,Snow,"Road Surface Condition(wet, icy, snow, slush, etc)",VT-2A,44.48434796,-73.11475545,11
443496.910781252197921,216082.586562499403954,1048,VT0040300,So. Burlington PD.,18SB000535,2018-01-14T18:39:00.000Z,Shelburne Road,Brewer Parkway,Other - Explain in Narrative,"State Highway numbered route, State owned",1.52,Four-way Intersection,,0414,South Burlington,443496,216090,0070,US-7,U007-0414,LRS,None/Other,None,Pedestrian,Clear,Night,Injury,NO ERROR,SHELBURNE RD,Wet,None,US-7,44.44276754,-73.20979748,10
445081.737031251192093,219375.973593747243285,1049,VT0040100,Burlington PD,18BU000771,2018-01-11T12:33:00.000Z,Main St,East Ave,"Left Turn and Thru, Angle Broadside -->v--","State Highway numbered route, Class 1 TH",0.82,Five-point or more,,0403,Burlington,,,0020,US-2,U002-0403,LRS,None/Other,None,None,Cloudy,Day,Property Damage Only,NO ERROR,MAIN ST,Wet,None,US-2,44.47252623,-73.19023925,11
501128.029843751341105,76629.445000000298023,1050,VTVSP1600,VSP - B1 Westminster,18B100155,2018-01-06T18:01:56.000Z,ROCKINGHAM RD,PARKER HILL RD,,"State Highway numbered route, State owned",1.62,,ROCKINGHAM RD & PARKER HILL RD ROCKINGHAM VT,1314,Rockingham,,,1030,VT-103,V103-1314,LRS,,,,,Night,,NO ERROR,ROCKINGHAM RD,,,VT-103,43.18982162,-72.48612281,10
493364.023125001229346,147478.494843751192093,1051,VTVSP1100,VSP - B2 Royalton,18B200302,2018-01-17T08:01:00.000Z,I-89 Exit 3 South Off Ramp,Route 107,Single Vehicle Crash,Ramp or Spur,0.13,Off Ramp,,1416,Royalton,493389,147545,0890,I-89,I089-0000SR003D,LRS,None/Other,None,None,Freezing Precipitation,Day,Property Damage Only,NO ERROR,I-89 EXIT 3 RAMP D,Snow,"Road Surface Condition(wet, icy, snow, slush, etc)",I-89,43.82750545,-72.58250077,7
455926.247031250968575,138701.897968750447035,1052,VT0111000,Pittsford PD.,18PD000036,2018-01-17T16:07:00.000Z,US Rt 7 At The Monument,Approximately 1.5 Miles South Of The Pittsford And Bran,Single Vehicle Crash,"State Highway numbered route, State owned",7.01,Not at a Junction,,1116,Pittsford,,,0070,US-7,U007-1116,LRS,None/Other,None,None,Freezing Precipitation,Day,Property Damage Only,NO ERROR,ROUTE 7,,,US-7,43.747231,-73.04720707,10
478286.848125000484288,205401.630156250670552,1053,VTVSP1200,VSP - A3 Middlesex,18A300168,2018-01-09T16:20:06.000Z,600 Block US RT 2,,,"State Highway numbered route, State owned",2.94,,600 Block US RT 2 WATERBURY VT,1218,Waterbury,,,0020,US-2,U002-1218,LRS,,,,,Day,,NO ERROR,US ROUTE 2,,,US-2,44.34852405,-72.77232548,10
489960.874218749813735,165413.158125,1054,VTVSP1100,VSP - B2 Royalton,18B200021,2018-01-02T13:20:34.000Z,I 89 N MM34,,,"State Highway numbered route, State owned",34,,I 89 N MM34 RANDOLPH VT,0909,Randolph,,,0890,I-89,I089-0000,LRS,,,,,Day,,NO ERROR,INTERSTATE 89,,,I-89,43.98888539,-72.62514757,10
492182.90015625115484,229054.453125001862645,1055,VT0080100,Morristown PD.,18MR000134,2018-01-12T15:16:00.000Z,Upper Main Street,Portland Street,Same Direction Sideswipe,"State Highway numbered route, Class 1 TH",0,Four-way Intersection,,0807,Morristown,492182,229065,0151,VT-15A,V015A0807,LRS,None/Other,None,Heavy Truck,Cloudy,Day,Property Damage Only,NO ERROR,UPPER MAIN ST,Dry,None,VT-15A,44.5616701,-72.59839904,11
447017.542656251229346,202703.936250003054738,1056,VTVSP0100,VSP - A1 Williston,18A100113,2018-01-05T16:04:52.000Z,3500 Block HINESBURG RD,,,Federal Aid Secondary System (Class 2 TH),4.22,,3500 Block HINESBURG RD CHARLOTTE VT,0404,Charlotte,,,S0208,HINESBURG RD,S02080404,LRS,,,,,Day,,NO ERROR,HINESBURG RD,,,HINESBURG RD,44.32263911,-73.16421129,3
477198.168750000186265,196722.391250003129244,1057,VTVSP1200,VSP - A3 Middlesex,18A300160,2018-01-09T09:10:00.000Z,1600 Block VT ROUTE 100,,,"State Highway numbered route, State owned",1.7,,1600 Block VT ROUTE 100 DUXBURY VT,1206,Duxbury,,,1000,VT-100,V100-1206,LRS,,,,,Day,,NO ERROR,ROUTE 100,,,VT-100,44.27038076,-72.78560047,10
441109.490937502123415,222880.504062501713634,1058,VT0040100,Burlington PD,18BU000922,2018-01-13T12:00:00.000Z,North Ave,Ethan Allen Pkwy,Other - Explain in Narrative,Federal Aid Urban System (Class 2 TH's and 3 TH's only),1.9,Four-way Intersection,,0403,Burlington,,,U5026,NORTH AVE.,S50260403,LRS,None/Other,None,None,Cloudy,Day,Property Damage Only,NO ERROR,NORTH AVE,Snow,"Road Surface Condition(wet, icy, snow, slush, etc)",NORTH AVE.,44.50374986,-73.24055929,2
485058.26343750115484,199705.609687499701977,1059,VTVSP1200,VSP - A3 Middlesex,18A300098,2018-01-05T21:46:27.000Z,US ROUTE 2,KNAPP RD,,"State Highway numbered route, State owned",0.79,,US ROUTE 2 & KNAPP RD MIDDLESEX VT,1210,Middlesex,,,0020,US-2,U002-1210,LRS,,,,,Night,,NO ERROR,US ROUTE 2,,,US-2,44.29743265,-72.6872361,10
483235.771875000558794,102210.400468749925494,1060,VT0140100,Ludlow PD.,18-LL-000085,2018-01-10T16:36:00.000Z,VT RT 103 N,100 N,"Left Turn and Thru, Angle Broadside -->v--","State Highway numbered route, State owned",4.06,T - Intersection,,1410,Ludlow,483237,102209,1030,VT-103,V103-1410,LRS,None/Other,None,None,Clear,Day,Property Damage Only,NO ERROR,ROUTE 103,Dry,None,VT-103,43.41989768,-72.70701527,10
